GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Germany (until 1990 former territory of the FRG),Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	444	414	477	382	428	355	351	324	318	316
Estonia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	26	24	11	11	18	13	11	0	0	14
Ireland,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	36	28	29	40	26	32	17	28	23	27
Greece,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	74	73	51	74	75	53	60	49	59	57
Spain,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	259	278	254	222	229	240	226	252	206	199
France,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	453	480	424	364	396	373	368	348	368	355
France (metropolitan),Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	423	454	400	347	368	341	342	325	343	326
Croatia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	43	36	38	31	31	33	33	24	25	25
Italy,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	293	351	276	:	:	261	266	221	257	228
Cyprus,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	14	16	8	0	20	0	0	0	0	0
Latvia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	43	47	32	40	31	31	26	21	30	21
Lithuania,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	57	57	39	50	58	54	42	44	26	22
Luxembourg,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	87	95	92	81	80	49	62	63	61	49
Malta,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	115	112	147	94	92	103	88	76	95	76
Austria,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	45	47	40	56	56	41	34	31	39	33
Poland,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	428	403	366	326	321	305	246	244	259	210
Portugal,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	118	110	105	98	99	84	66	65	61	68
Romania,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	456	436	383	359	361	334	327	325	266	282
Slovenia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	15	14	13	11	0	0	10	0	0	0
Slovakia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	76	78	45	61	61	59	59	39	38	43
Finland,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	43	41	29	51	45	32	28	33	20	30
Sweden,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	50	36	45	81	49	43	41	28	47	32
United Kingdom,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	448	405	410	366	347	364	337	369	320	326
Iceland,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	32	46	36	38	27	0	23	28	32	28
Switzerland,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	40	45	40	40	45	45	36	34	37	25
North Macedonia,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	38	41	21	25	15	17	20	15	23	18
Albania,Number,Total,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	137	134	139	164	:	:	:	:	:	46
European Union - 27 countries (from 2020),Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	106 e	94 e	84	84 e	80 e	82	69	58	69	71 e
European Union - 28 countries (2013-2020),Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	129 e	110 e	109	101 e	91 e	97	89	73	87	87 e
Belgium,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	4	4	3	4	2	2	2	2
Bulgaria,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	3	1	1	0	2	2	4	4	2	3
Czechia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	3	0	1	2	1	2	2
Denmark,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	1	0	1	0	1	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	15	12	9	10	13	9	11	9	7	12
Estonia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	1	0	0	0	1	1	1
Greece,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	1	2	2	2	2	1	0	2
Spain,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	12	16	12	9	5	6	11	8	6	5
France,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	18	12	10	14	16	14	11	10	16	13
France (metropolitan),Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	13	11	10	12	16	12	9	10	16	10
Croatia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	2	0	0	0	1	0	0	0
Italy,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	6	8	7	:	:	9	6	3	4	11
Cyprus,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	2	1	2	1	5	0	0	2	0
Lithuania,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	2	0	0	0	0	0	0
Luxembourg,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	2	0	0	1	3	0	0	2	0
Malta,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	6	6	5	2	2	4	1	0	0	2
Austria,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	2	1	1	5	4	0	0	0	1	0
Poland,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	8	11	10	8	9	15	7	9	14	8
Portugal,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	5	1	3	4	1	1	1	2	2
Romania,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	19	12	14	10	8	3	8	5	5	8
Slovenia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	0	0	0	0	0	0	0
Slovakia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	1	2	0	0	3	1	0
Finland,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	3	0	4	0	0	1	1	0	1	0
Sweden,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	2	1	0	1	2	1	0	1	0
United Kingdom,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	23	16	25	17	11	15	20	15	18	16
Iceland,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	4	0	2	0	0	0	0	1
Switzerland,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	2	0	1	0	1	0	2	1	1
North Macedonia,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	1	2	1	1	0	0	2	1
Albania,Number,Total,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	2	4	3	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 5 to 9 years,Tuberculosis	2 e	7 e	5	2 e	3 e	4	1	1	5	2 e
European Union - 28 countries (2013-2020),Number,Total,From 5 to 9 years,Tuberculosis	3 e	7 e	5	3 e	5 e	4	1	1	5	3 e
Belgium,Number,Total,From 5 to 9 years,Tuberculosis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	2	0	0	0	0	0
Czechia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	1	0	0	0
Estonia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 5 to 9 years,Tuberculosis	0	2	1	1	0	0	0	0	2	0
France,Number,Total,From 5 to 9 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
France (metropolitan),Number,Total,From 5 to 9 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Croatia,Number,Total,From 5 to 9 years,Tuberculosis	1	0	0	0	0	0	0	0	0	0
Italy,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	:	:	1	0	0	0	2
Cyprus,Number,Total,From 5 to 9 years,Tuberculosis	:	:	:	0	0	0	0	0	:	0
Latvia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	2	0	0	0	0
Lithuania,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	:	0	0	0	:	:	0
Hungary,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	1	0
Malta,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,From 5 to 9 years,Tuberculosis	1	0	1	0	0	0	0	0	1	0
Portugal,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Total,From 5 to 9 years,Tuberculosis	0	4	3	0	1	1	0	1	1	0
Slovenia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	1	0	0	0	0	0	0
Finland,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 5 to 9 years,Tuberculosis	1	0	0	1	2	0	0	0	0	1
Iceland,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,From 5 to 9 years,Tuberculosis	0	0	0	0	0	1	0	0	0	0
Albania,Number,Total,From 5 to 9 years,Tuberculosis	0	1	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1 e	2 e	2	1 e	3 e	1	3	2	1	1 e
European Union - 28 countries (2013-2020),Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1 e	2 e	2	2 e	3 e	1	3	2	1	1 e
Belgium,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	2	1	1	0
Czechia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	1	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Estonia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	2	0	0	0	0	0
France (metropolitan),Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	2	0	0	0	0	0
Croatia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	1	1	0	0	0
Cyprus,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	0	0	0	0	:	0	0
Latvia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	1	0	0	0	0	0	0	0	0
Lithuania,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	0	0
Hungary,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	1	1	0	1	0	0	0	0	1
Slovenia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Iceland,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	0	:	:	:	:	0	:	:	:
Norway,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
Albania,Number,Total,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	19 e	9 e	5	7 e	5 e	6	1	0	2	3 e
European Union - 28 countries (2013-2020),Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	20 e	9 e	6	8 e	5 e	7	2	0	3	3 e
Belgium,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	1
Bulgaria,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Czechia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	0	0	0	0	0
Denmark,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	1	0	0	0	0	0	0	1
Estonia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	1	0	0	0	0	0	0
Greece,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	4	2	1	1	2	0	1	0	0	0
France,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	2	2	3	1	2	0	0	1	0
France (metropolitan),Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	1	2	2	1	2	0	0	1	0
Croatia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	1	0	:	:	1	0	0	1	0
Cyprus,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	0
Latvia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Malta,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Poland,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	1	0	0	0	0
Portugal,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	2	0	0	1	0	0	0	0	0
Romania,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	8	2	1	2	1	2	0	0	0	1
Slovenia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	0	0	0
Finland,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	1	0	1	1	0	1	1	0	1	0
Iceland,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	0	0	0	:	:
Albania,Number,Total,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	5,000 e	4,524 e	4,315	3,766 e	3,532 e	3,322	3,274	3,023	3,003	2,732 e
European Union - 28 countries (2013-2020),Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	5,569 e	5,080 e	4,860	4,249 e	4,060 e	3,821	3,756	3,402	3,407	3,099 e
Belgium,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	:	:	92	68	80	73	87	59	65	69
Bulgaria,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	135	120	144	134	124	104	97	101	87	93
Czechia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	105	91	102	88	107	67	73	71	72	60
Denmark,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	47	36	43	50	29	39	38	41	28	:
Germany (until 1990 former territory of the FRG),Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	646	571	570	450	502	429	391	410	405	365
Estonia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	32	19	32	16	13	14	17	0	0	9
Ireland,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	43	50	42	33	38	35	50	40	31	28
Greece,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	102	69	79	75	79	64	58	60	72	60
Spain,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	346	320	341	308	281	262	273	248	228	227
France,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	647	571	557	492	442	462	408	407	425	413
France (metropolitan),Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	608	533	527	454	408	430	385	380	396	355
Croatia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	44	28	49	37	35	33	32	33	45	29
Italy,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	395	401	366	:	:	290	337	310	315	292
Cyprus,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	13	9	8	0	15	0	0	0	0	0
Latvia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	53	38	39	33	47	26	37	25	26	28
Lithuania,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	75	71	60	48	56	55	69	53	50	33
Luxembourg,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	123	127	116	102	76	118	108	87	84	68
Malta,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	165	141	152	122	129	114	110	102	95	97
Austria,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	58	59	64	61	56	55	49	42	58	40
Poland,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	547	575	505	457	424	441	437	335	365	297
Portugal,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	145	144	123	108	85	96	88	95	73	72
Romania,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	967	787	616	457	392	365	343	315	301	287
Slovenia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	16	15	11	19	0	0	14	0	0	0
Slovakia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	89	71	82	68	40	58	57	59	61	54
Finland,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	34	37	51	53	34	42	39	31	35	24
Sweden,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	70	67	64	109	62	53	45	60	57	44
United Kingdom,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	569	556	545	483	528	499	482	379	404	367
Iceland,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	25	45	50	43	32	0	39	31	30	31
Switzerland,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	58	44	56	59	50	47	40	39	42	34
North Macedonia,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	36	38	39	37	31	24	26	13	17	18
Albania,Number,Total,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	110	110	130	140	:	:	:	:	:	51
European Union - 27 countries (from 2020),Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	506 e	340 e	231	123 e	82 e	80	72	62	66	51 e
European Union - 28 countries (2013-2020),Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	525 e	353 e	248	138 e	90 e	92	82	70	86	62 e
Belgium,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	:	:	2	2	1	2	1	1	0	2
Bulgaria,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	3	3	4	4	4	1	3	4	3	2
Czechia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	2	4	0	2	0	2	0
Denmark,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	2	2	2	1	1	1	0	1	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	21	23	10	9	10	12	11	8	14	6
Estonia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	1	0	0	0	0	0	0
Ireland,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	2	0	0	0	0	0	0	0
Greece,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	1	1	1	0	0	0	0	1	0
Spain,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	19	12	19	10	3	8	8	4	3	4
France,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	15	9	13	5	9	9	11	9	11	7
France (metropolitan),Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	13	8	13	4	8	9	10	9	10	3
Croatia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	1	0	2	1	2	0	1	0
